protein_family,best_model,best_metric,best_score
Epigenetic,rf,f1_score,0.9824
Enzyme,mlp,f1_score,1.0
Epigenetic,xgb,f1_score,0.9791
Enzyme,rf,f1_score,0.9866
Kinase,svc,f1_score,0.9916
Transporter,rf,f1_score,1.0
Kinase,mlp,f1_score,0.9974
NR,xgb,f1_score,0.9974
IC,svc,f1_score,0.927
Kinase,rf,f1_score,0.9932
GPCR,mlp,f1_score,0.9867
Kinase,rf,f1_score,1.0
GPCR,xgb,f1_score,1.0
Kinase,rf,f1_score,0.9991
GPCR,rf,f1_score,0.9969
Other,rf,f1_score,0.9941
Kinase,svc,f1_score,1.0
GPCR,svc,f1_score,0.9844
GPCR,xgb,f1_score,0.9520000000000001
Other,rf,f1_score,0.9988
GPCR,xgb,f1_score,0.9977
GPCR,rf,f1_score,0.993
GPCR,xgb,f1_score,0.9843
GPCR,svc,f1_score,1.0
GPCR,xgb,f1_score,1.0
Enzyme,mlp,f1_score,0.9978
GPCR,xgb,f1_score,0.9961
GPCR,rf,f1_score,0.9905
Enzyme,xgb,f1_score,0.9725
Enzyme,xgb,f1_score,0.9951
Epigenetic,mlp,f1_score,1.0
Other,mlp,f1_score,0.9828
Enzyme,rf,f1_score,0.9802
Enzyme,svc,f1_score,0.9942
Other,rf,f1_score,1.0
Other,rf,f1_score,1.0
Epigenetic,svc,f1_score,1.0
Epigenetic,rf,f1_score,1.0
Enzyme,svc,f1_score,0.9979
Enzyme,xgb,f1_score,1.0
Transporter,rf,f1_score,1.0
Kinase,xgb,f1_score,1.0
Enzyme,mlp,f1_score,1.0
Epigenetic,xgb,f1_score,1.0
Enzyme,rf,f1_score,0.9782
Other,xgb,f1_score,1.0
IC,rf,f1_score,1.0
Enzyme,svc,f1_score,1.0
Enzyme,mlp,f1_score,0.9961
Enzyme,xgb,f1_score,1.0
Enzyme,xgb,f1_score,0.9816
Enzyme,svc,f1_score,0.9948
Enzyme,rf,f1_score,0.9688
Kinase,mlp,f1_score,0.9973
GPCR,xgb,f1_score,1.0
GPCR,rf,f1_score,0.9971
Enzyme,xgb,f1_score,1.0
Kinase,rf,f1_score,0.9809
Kinase,rf,f1_score,0.9966
Other,rf,f1_score,0.9624
Enzyme,xgb,f1_score,0.9634
Kinase,xgb,f1_score,0.9802
Enzyme,xgb,f1_score,0.9823
NR,rf,f1_score,0.9974
Other,rf,f1_score,0.9955
Kinase,svc,f1_score,0.9968
NR,xgb,f1_score,1.0
GPCR,svc,f1_score,0.998
