,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
O43451,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,501,126,57,570,xgb,f1_score,1.0
O00141,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9818,0.9818,0.89,0.89,440,110,50,500,xgb,f1_score,1.0
P31749,Kinase,0.995,0.995,0.9695,0.9695,0.995,0.9949,0.9691,0.9693,0.9931,0.9932,0.9592,0.9595,0.995,0.995,0.9695,0.9695,6380,1595,725,7250,xgb,f1_score,0.995
P31639,Transporter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,264,66,30,300,xgb,f1_score,1.0
Q12866,Kinase,0.987,0.987,0.9214,0.9214,0.9935,0.9934,0.9594,0.9602,0.9481,0.9521,0.7365,0.7513,0.9935,0.9934,0.9594,0.9602,616,154,70,700,rf,f1_score,0.9934
P50336,Enzyme,0.963,0.9613,0.867,0.8748,0.963,0.9613,0.867,0.8748,0.963,0.9613,0.867,0.8748,0.963,0.9613,0.867,0.8748,105,27,22,110,xgb,f1_score,0.9613
Q14164,Kinase,0.9798,0.9798,0.8778,0.8778,0.9899,0.9896,0.9357,0.9376,1.0,1.0,1.0,1.0,0.9697,0.9669,0.7843,0.8032,396,99,45,450,svc,f1_score,1.0
Q9UQL6,Epigenetic,0.9777,0.9762,0.8453,0.8556,0.9832,0.9824,0.8875,0.8932,0.9609,0.959,0.7376,0.7423,0.9777,0.9762,0.8453,0.8556,712,179,81,810,rf,f1_score,0.9824
P00740,Enzyme,0.9952,0.9949,0.9,0.9045,0.9988,0.9988,0.9767,0.9769,0.9982,0.9982,0.9668,0.9673,1.0,1.0,1.0,1.0,6630,1658,224,8064,mlp,f1_score,1.0
Q9UBN7,Epigenetic,0.9792,0.9791,0.9528,0.9532,0.9682,0.9679,0.9272,0.9287,0.9462,0.9464,0.8799,0.8801,0.956,0.9557,0.8999,0.9004,3271,818,1363,2726,xgb,f1_score,0.9791
P09211,Enzyme,0.9481,0.9384,0.5769,0.6367,0.987,0.9866,0.916,0.9193,0.987,0.9866,0.916,0.9193,0.974,0.972,0.8197,0.8333,308,77,35,350,rf,f1_score,0.9866
P36888,Kinase,0.9879,0.9878,0.9253,0.9257,0.9879,0.9877,0.9246,0.9254,0.9917,0.9916,0.9488,0.9489,0.9898,0.9898,0.938,0.938,4312,1078,490,4900,svc,f1_score,0.9916
Q12908,Transporter,0.9965,0.9964,0.9297,0.932,1.0,1.0,1.0,1.0,0.9993,0.9993,0.987,0.9871,0.9986,0.9986,0.9743,0.9746,5742,1436,194,6984,rf,f1_score,1.0
O15530,Kinase,0.9911,0.9903,0.8046,0.8204,0.9963,0.9962,0.9274,0.9299,0.9963,0.9964,0.9339,0.9343,0.9974,0.9974,0.9519,0.952,7640,1911,263,9288,mlp,f1_score,0.9974
