,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
Q16769,Enzyme,0.9906,0.9896,0.7811,0.8005,0.9969,0.9968,0.9359,0.9378,0.9961,0.9962,0.9276,0.9284,0.9969,0.9968,0.9378,0.9382,5091,1273,172,6192,mlp,f1_score,0.9968
Q9H773,Enzyme,0.9839,0.9832,0.9003,0.9048,0.9839,0.9832,0.9003,0.9048,0.9839,0.9832,0.9003,0.9048,0.9839,0.9832,0.9003,0.9048,246,62,28,280,xgb,f1_score,0.9832
P35414,GPCR,0.8462,0.848,0.6977,0.7319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9231,0.924,0.8434,0.8539,48,13,25,36,rf,f1_score,1.0
P23946,Enzyme,0.9949,0.9947,0.8934,0.8986,0.9977,0.9976,0.9533,0.9544,0.9953,0.9955,0.9154,0.9169,0.9988,0.9988,0.9775,0.9775,10271,2568,347,12492,mlp,f1_score,0.9988
P30874,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922,0.9922,0.9826,0.9827,511,128,213,426,xgb,f1_score,1.0
P03951,Enzyme,0.9968,0.9968,0.9364,0.9383,0.9995,0.9995,0.9914,0.9914,0.9973,0.9974,0.951,0.9521,0.9995,0.9996,0.9915,0.9915,8883,2221,302,10802,mlp,f1_score,0.9996
O95263,Enzyme,0.9874,0.9856,0.6969,0.7313,0.9989,0.9988,0.9781,0.9784,0.9989,0.9988,0.9781,0.9784,0.9966,0.9965,0.9316,0.9338,3492,874,118,4248,rf,f1_score,0.9988
P51787,IC,0.9859,0.9853,0.9015,0.9059,1.0,1.0,1.0,1.0,0.9577,0.9615,0.7774,0.7974,1.0,1.0,1.0,1.0,281,71,32,320,rf,f1_score,1.0
P25021,GPCR,0.931,0.9238,0.7129,0.7442,0.9655,0.964,0.8688,0.8764,0.8621,0.8706,0.5827,0.5958,0.931,0.931,0.7583,0.7583,115,29,24,120,rf,f1_score,0.964
Q02083,Enzyme,0.971,0.9683,0.785,0.8038,1.0,1.0,1.0,1.0,0.9855,0.986,0.9151,0.9184,0.9855,0.9849,0.9013,0.9057,272,69,31,310,rf,f1_score,1.0
Q13526,Enzyme,0.9737,0.9717,0.8195,0.8332,0.9737,0.9728,0.8319,0.8348,0.9671,0.9676,0.8094,0.81,0.9671,0.9666,0.7968,0.7975,607,152,69,690,rf,f1_score,0.9728
P06239,Kinase,0.9943,0.9942,0.9646,0.9652,0.9981,0.9981,0.9884,0.9885,0.9934,0.9934,0.9608,0.9612,0.9896,0.9898,0.9401,0.9418,4224,1056,480,4800,rf,f1_score,0.9981
P25929,GPCR,0.9925,0.9924,0.9531,0.9535,0.9955,0.9954,0.9719,0.9723,0.9955,0.9955,0.9731,0.9735,0.9985,0.9985,0.9909,0.9909,2648,663,301,3010,mlp,f1_score,0.9985
Q16602,GPCR,0.9955,0.9955,0.9725,0.9726,0.9955,0.9955,0.9722,0.9726,0.9955,0.9956,0.9732,0.9732,0.9933,0.9933,0.9588,0.9589,3581,896,407,4070,svc,f1_score,0.9956
P08575,Enzyme,0.9716,0.9693,0.8033,0.8193,1.0,1.0,1.0,1.0,0.9929,0.993,0.959,0.9599,0.9787,0.9775,0.8582,0.867,563,141,64,640,rf,f1_score,1.0
P47898,GPCR,0.9795,0.9735,0.3934,0.4948,0.9905,0.9895,0.7832,0.8023,0.9864,0.9864,0.743,0.743,0.9918,0.9916,0.8379,0.8391,2930,733,99,3564,mlp,f1_score,0.9916
Q9ULX7,Enzyme,0.9957,0.9955,0.9129,0.9163,0.9964,0.9964,0.9307,0.9308,0.9905,0.9907,0.8294,0.8306,0.9977,0.9977,0.9564,0.9564,12168,3042,414,14796,mlp,f1_score,0.9977
Q13255,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856,0.9861,0.9189,0.922,0.9904,0.9904,0.9421,0.9421,836,209,95,950,xgb,f1_score,1.0
P25440,Epigenetic,0.991,0.9902,0.7956,0.8128,0.9979,0.9979,0.9589,0.9597,0.9952,0.9953,0.9111,0.9118,0.9972,0.9972,0.9445,0.946,5801,1451,196,7056,rf,f1_score,0.9979
P32239,GPCR,0.9942,0.9942,0.9868,0.9868,0.9912,0.9912,0.9803,0.9803,0.9912,0.9912,0.9802,0.9802,0.9883,0.9883,0.9735,0.9738,1368,342,570,1140,xgb,f1_score,0.9942
P53350,Kinase,1.0,1.0,1.0,1.0,0.9946,0.9946,0.9668,0.9673,0.9946,0.9947,0.9685,0.9689,0.9973,0.9973,0.9836,0.9837,1487,372,169,1690,xgb,f1_score,1.0
Q14654,IC,0.9953,0.995,0.9024,0.9067,0.9988,0.9988,0.9772,0.9774,0.9988,0.9988,0.9781,0.9783,0.9988,0.9988,0.9772,0.9774,3374,844,114,4104,svc,f1_score,0.9988
O60235,Enzyme,0.9892,0.9889,0.9275,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892,0.9889,0.9275,0.93,369,93,42,420,rf,f1_score,1.0
P42575,Enzyme,1.0,1.0,1.0,1.0,0.9828,0.9819,0.8797,0.8861,0.9828,0.9819,0.8797,0.8861,0.9828,0.9819,0.8797,0.8861,228,58,26,260,xgb,f1_score,1.0
P22748,Enzyme,0.9889,0.9877,0.7479,0.7677,0.9948,0.9946,0.8939,0.8969,0.9878,0.9883,0.7899,0.7931,0.9919,0.9915,0.8331,0.8369,6869,1718,235,8352,rf,f1_score,0.9946
Q9Y5Y6,Other,0.9959,0.9959,0.975,0.9753,0.9959,0.9959,0.975,0.9753,1.0,1.0,1.0,1.0,0.9959,0.9959,0.975,0.9753,1962,491,223,2230,svc,f1_score,1.0
P42261,IC,0.9818,0.9809,0.8791,0.8856,0.9818,0.9809,0.8791,0.8856,0.9515,0.9551,0.7514,0.7648,0.9697,0.9669,0.7843,0.8032,660,165,75,750,xgb,f1_score,0.9809
P42356,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583,0.9601,0.8636,0.8718,96,24,20,100,xgb,f1_score,1.0
Q13546,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9848,0.9854,0.9147,0.9181,1.0,1.0,1.0,1.0,264,66,30,300,xgb,f1_score,1.0
O00519,Enzyme,0.9919,0.9918,0.9493,0.9503,0.9884,0.9881,0.9262,0.9279,0.9747,0.9754,0.8552,0.8569,0.9919,0.9918,0.9499,0.9503,7920,1980,900,9000,mlp,f1_score,0.9918
Q8NER1,IC,0.9961,0.9961,0.9759,0.9762,0.9941,0.9941,0.9637,0.9641,0.9899,0.99,0.9405,0.941,0.9964,0.9964,0.9784,0.9784,12293,3074,1397,13970,mlp,f1_score,0.9964
P51449,NR,0.9512,0.9512,0.8906,0.8906,0.9573,0.9568,0.902,0.9043,0.9268,0.9277,0.8402,0.8429,0.8902,0.8919,0.7624,0.7666,655,164,273,546,rf,f1_score,0.9568
P08842,Enzyme,0.9945,0.9944,0.966,0.9661,0.9963,0.9963,0.9771,0.9774,0.9963,0.9963,0.9776,0.9776,0.9963,0.9963,0.9776,0.9776,2164,542,246,2460,svc,f1_score,0.9963
P56817,Enzyme,0.9886,0.9886,0.9743,0.9744,0.9918,0.9918,0.9815,0.9816,0.9846,0.9846,0.9653,0.9653,0.9896,0.9895,0.9764,0.9765,8800,2201,3667,7334,rf,f1_score,0.9918
P32246,GPCR,0.9933,0.9928,0.8538,0.863,0.9969,0.9968,0.9364,0.9383,0.9946,0.9948,0.9035,0.9054,0.9982,0.9982,0.9652,0.9653,8909,2228,301,10836,mlp,f1_score,0.9982
P23280,Enzyme,0.9769,0.9753,0.8448,0.8552,0.9676,0.9644,0.7712,0.7922,0.9491,0.9458,0.6586,0.6667,0.963,0.9587,0.7313,0.7593,862,216,98,980,xgb,f1_score,0.9753
O00329,Kinase,0.989,0.9889,0.9318,0.9324,0.9882,0.9879,0.9249,0.9268,0.9873,0.9874,0.9239,0.9239,0.9899,0.9899,0.9389,0.9389,4734,1184,538,5380,mlp,f1_score,0.9899
P11086,Enzyme,0.9874,0.987,0.9163,0.9195,0.9937,0.9936,0.9595,0.9603,0.9874,0.9878,0.9264,0.9289,0.9937,0.9938,0.9621,0.9628,633,159,72,720,mlp,f1_score,0.9938
P42574,Enzyme,0.9931,0.9931,0.9845,0.9845,0.9908,0.9908,0.9792,0.9793,0.9793,0.9793,0.9538,0.9541,0.9747,0.9748,0.9435,0.9438,1732,434,722,1444,xgb,f1_score,0.9931
P10827,NR,0.9912,0.9912,0.9475,0.9475,0.9956,0.9955,0.9732,0.9735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,906,227,103,1030,svc,f1_score,1.0
O00748,Enzyme,0.9822,0.9778,0.4932,0.5721,0.9985,0.9985,0.9707,0.9711,0.9911,0.9915,0.8455,0.85,0.9866,0.9865,0.736,0.7363,2693,674,91,3276,rf,f1_score,0.9985
P07288,Enzyme,0.9811,0.9802,0.8787,0.8853,0.9811,0.9819,0.8987,0.9033,0.9811,0.9819,0.8987,0.9033,1.0,1.0,1.0,1.0,211,53,24,240,mlp,f1_score,1.0
P23526,Enzyme,0.9843,0.9812,0.5933,0.6494,1.0,1.0,1.0,1.0,0.9974,0.9974,0.9532,0.9542,1.0,1.0,1.0,1.0,3048,763,103,3708,rf,f1_score,1.0
Q9Y2T6,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9667,0.9691,0.8154,0.8296,0.9833,0.984,0.9,0.9045,237,60,27,270,xgb,f1_score,1.0
P21964,Enzyme,0.9717,0.971,0.8266,0.828,0.9811,0.9802,0.8787,0.8853,0.9623,0.9623,0.7792,0.7792,0.9811,0.9802,0.8787,0.8853,422,106,48,480,rf,f1_score,0.9802
Q14289,Kinase,0.9333,0.9346,0.8571,0.866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333,0.9312,0.8421,0.8528,57,15,24,48,rf,f1_score,1.0
P22102,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,29,48,96,xgb,f1_score,1.0
P08246,Enzyme,0.9902,0.9899,0.9377,0.9396,0.9837,0.983,0.8931,0.8977,0.9692,0.9702,0.8266,0.8296,0.9888,0.9886,0.9304,0.9309,8571,2143,974,9740,xgb,f1_score,0.9899
O43318,Kinase,0.9,0.8814,0.5263,0.5976,0.9,0.8814,0.5263,0.5976,0.9667,0.9651,0.8696,0.8771,0.9,0.8814,0.5263,0.5976,120,30,25,125,svc,f1_score,0.9651
P08238,Other,0.9973,0.9973,0.9836,0.9836,0.9973,0.9973,0.9834,0.9835,0.9986,0.9986,0.9918,0.9919,0.9905,0.9907,0.9444,0.9451,2948,737,335,3350,svc,f1_score,0.9986
O15379,Epigenetic,0.994,0.9937,0.8726,0.8798,0.9928,0.9923,0.8433,0.8539,0.9897,0.9899,0.8133,0.8142,0.9947,0.9947,0.8982,0.8983,16702,4176,567,20311,mlp,f1_score,0.9947
P31391,GPCR,1.0,1.0,1.0,1.0,0.98,0.9798,0.9548,0.9558,1.0,1.0,1.0,1.0,0.92,0.917,0.811,0.8259,196,50,82,164,xgb,f1_score,1.0
O14920,Kinase,0.9946,0.9944,0.8862,0.892,0.9967,0.9965,0.9316,0.9338,0.998,0.998,0.9628,0.9635,0.9987,0.9987,0.9749,0.9752,5979,1495,202,7272,mlp,f1_score,0.9987
P02766,Other,0.7778,0.7641,0.4545,0.4725,0.7778,0.7381,0.4,0.5,0.7778,0.7641,0.4545,0.4725,0.7778,0.7381,0.4,0.5,69,18,29,58,xgb,f1_score,0.7641
P33261,Other,0.9302,0.9106,0.3768,0.4818,0.9419,0.9295,0.5212,0.5936,0.9419,0.9401,0.635,0.6367,0.9419,0.9295,0.5212,0.5936,343,86,39,390,svc,f1_score,0.9401
O95665,GPCR,0.9839,0.9832,0.9003,0.9048,0.9839,0.9832,0.9003,0.9048,1.0,1.0,1.0,1.0,0.9839,0.9844,0.9141,0.9175,246,62,28,280,svc,f1_score,1.0
Q59H18,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,220,55,25,250,xgb,f1_score,1.0
P33527,Transporter,0.9887,0.9873,0.728,0.7565,0.9944,0.9941,0.8795,0.886,0.9958,0.9957,0.9168,0.9171,0.9944,0.9941,0.8795,0.886,2841,711,96,3456,svc,f1_score,0.9957
P55263,Kinase,0.9847,0.9817,0.5935,0.6496,0.9971,0.997,0.9419,0.9435,0.999,0.9991,0.982,0.9821,0.9933,0.9928,0.8538,0.8631,4173,1044,141,5076,svc,f1_score,0.9991
P56524,Epigenetic,0.9918,0.9911,0.8185,0.8323,0.9951,0.9949,0.8998,0.9043,0.9929,0.9929,0.8653,0.8653,0.9959,0.9958,0.9188,0.92,10685,2672,363,12994,mlp,f1_score,0.9958
Q9UGL1,TF; Epigenetic,0.9917,0.9916,0.9479,0.9492,0.9917,0.9916,0.9479,0.9492,0.9752,0.9757,0.8559,0.8569,1.0,1.0,1.0,1.0,484,121,55,550,mlp,f1_score,1.0
P11217,Enzyme,0.9828,0.983,0.8996,0.9001,0.9943,0.9942,0.9646,0.9652,0.977,0.9776,0.8697,0.8715,0.9713,0.9724,0.8413,0.8451,695,174,79,790,rf,f1_score,0.9942
P30536,Other,0.9351,0.9328,0.5802,0.5822,1.0,1.0,1.0,1.0,0.974,0.9755,0.8608,0.8692,0.9481,0.9384,0.5769,0.6367,308,77,35,350,rf,f1_score,1.0
P55789,Enzyme,0.9271,0.9071,0.3402,0.4275,0.9191,0.8923,0.2218,0.3199,0.8641,0.88,0.3849,0.4045,0.9271,0.9245,0.5285,0.5304,4004,1001,455,4550,mlp,f1_score,0.9245
Q9HBH9,Kinase,0.9782,0.9768,0.8532,0.8626,0.9913,0.9911,0.9452,0.9466,0.9913,0.9913,0.9476,0.9476,0.9825,0.9821,0.8905,0.8918,915,229,104,1040,svc,f1_score,0.9913
P01275,Other,0.9987,0.9987,0.9749,0.9752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3048,763,103,3708,rf,f1_score,1.0
Q6PCB7,Transporter,0.92,0.8917,0.2321,0.3623,0.9867,0.9871,0.926,0.9285,0.9733,0.9748,0.8603,0.8689,0.9733,0.9733,0.8424,0.8424,299,75,34,340,rf,f1_score,0.9871
Q15139,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9697,0.9693,0.9302,0.9325,1.0,1.0,1.0,1.0,132,33,55,110,xgb,f1_score,1.0
P06881,Other,0.9858,0.9853,0.909,0.9128,0.9858,0.9853,0.909,0.9128,0.9858,0.9853,0.909,0.9128,0.9858,0.9853,0.909,0.9128,563,141,64,640,xgb,f1_score,0.9853
P50579,Enzyme,0.9947,0.9947,0.9677,0.9678,0.9947,0.9946,0.9673,0.9678,0.9881,0.9883,0.9305,0.9312,0.9789,0.9778,0.8596,0.8662,3027,757,344,3440,xgb,f1_score,0.9947
Q14397,Enzyme,0.9787,0.9775,0.8582,0.867,1.0,1.0,1.0,1.0,0.9929,0.993,0.959,0.9599,0.9858,0.9858,0.9153,0.9153,563,141,64,640,rf,f1_score,1.0
P05412,TF,0.9669,0.9636,0.7609,0.7836,0.9669,0.9636,0.7609,0.7836,0.9752,0.9757,0.8559,0.8569,0.9669,0.9636,0.7609,0.7836,484,121,55,550,svc,f1_score,0.9757
Q92934,Other,0.9623,0.9579,0.731,0.7589,0.9811,0.9802,0.8787,0.8853,0.9434,0.9457,0.696,0.6996,0.9245,0.9245,0.5583,0.5583,211,53,24,240,rf,f1_score,0.9802
P55055,NR,0.9889,0.9886,0.9286,0.9309,0.9889,0.9886,0.9286,0.9309,0.9905,0.9907,0.9448,0.9462,0.9984,0.9984,0.9904,0.9905,2525,632,287,2870,mlp,f1_score,0.9984
O75460,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571,0.8464,0.6585,0.7006,55,14,23,46,xgb,f1_score,1.0
P00338,Enzyme,0.983,0.9827,0.8939,0.8945,0.9886,0.9886,0.9313,0.9313,0.9886,0.9886,0.9313,0.9313,0.9943,0.9942,0.9646,0.9652,704,176,80,800,mlp,f1_score,0.9942
P28838,Enzyme,0.9437,0.9304,0.4779,0.5604,0.9859,0.9853,0.9015,0.9059,0.9718,0.9718,0.8179,0.8179,0.9718,0.9736,0.8419,0.8526,281,71,32,320,rf,f1_score,0.9853
P07711,Enzyme,0.9918,0.9917,0.9495,0.9497,0.9895,0.9892,0.933,0.9347,0.9778,0.9782,0.8712,0.8725,0.9912,0.9912,0.9463,0.9464,6828,1708,776,7760,xgb,f1_score,0.9917
P08913,GPCR,0.9896,0.9884,0.7577,0.781,0.9922,0.9916,0.8281,0.8406,0.9845,0.9856,0.748,0.7572,0.9922,0.992,0.8427,0.8447,10804,2702,366,13140,mlp,f1_score,0.992
Q9UHC9,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,26,21,105,xgb,f1_score,1.0
Q8N474,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,598,150,68,680,xgb,f1_score,1.0
P05186,Enzyme,0.9963,0.9963,0.9864,0.9865,0.9925,0.9925,0.9726,0.9729,0.9888,0.9889,0.9599,0.96,0.9869,0.9871,0.9539,0.9544,2143,536,447,2232,xgb,f1_score,0.9963
P24723,Kinase,0.9813,0.9808,0.8787,0.8803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,853,214,97,970,rf,f1_score,1.0
P37023,Kinase,0.9808,0.9797,0.8648,0.8728,1.0,1.0,1.0,1.0,0.9904,0.9906,0.9421,0.9437,0.9904,0.9901,0.936,0.9379,413,104,47,470,rf,f1_score,1.0
P36639,Enzyme,0.9623,0.9579,0.731,0.7589,0.9623,0.9579,0.731,0.7589,0.9623,0.9579,0.731,0.7589,0.9623,0.9579,0.731,0.7589,211,53,24,240,xgb,f1_score,0.9579
P42338,Kinase,0.99,0.9898,0.9379,0.9385,0.9922,0.992,0.9512,0.9523,0.9922,0.9923,0.9543,0.9548,0.9967,0.9966,0.9795,0.9797,3590,898,408,4080,mlp,f1_score,0.9966
P42345,Kinase,0.9942,0.9942,0.987,0.987,0.9971,0.9971,0.9935,0.9935,0.9952,0.9952,0.9892,0.9892,0.9942,0.9942,0.987,0.987,4137,1035,1724,3448,rf,f1_score,0.9971
Q99895,Enzyme,0.9767,0.9752,0.8448,0.8551,0.9884,0.988,0.927,0.9295,0.9884,0.988,0.927,0.9295,0.9651,0.9614,0.7514,0.7758,343,86,39,390,rf,f1_score,0.988
Q99683,Kinase,0.989,0.9887,0.9274,0.9298,1.0,1.0,1.0,1.0,0.989,0.9893,0.9351,0.9371,0.989,0.9887,0.9274,0.9298,360,91,41,410,rf,f1_score,1.0
P43116,GPCR,0.9862,0.9857,0.9115,0.915,0.9817,0.9807,0.879,0.8855,0.9817,0.982,0.8946,0.8959,0.9817,0.982,0.8946,0.8959,871,218,99,990,xgb,f1_score,0.9857
P18089,GPCR,0.9817,0.9769,0.4694,0.5538,0.9908,0.9899,0.788,0.8063,0.975,0.9769,0.5927,0.6007,0.9875,0.9872,0.7477,0.7486,4795,1199,162,5832,rf,f1_score,0.9899
P06276,Enzyme,0.9888,0.9886,0.9294,0.9309,0.9883,0.9879,0.9248,0.9274,0.9849,0.9851,0.9111,0.9115,0.9905,0.9905,0.9428,0.9428,7154,1789,813,8130,mlp,f1_score,0.9905
Q16832,Kinase,0.9296,0.9057,0.268,0.3934,0.9859,0.9853,0.9015,0.9059,0.9718,0.9718,0.8179,0.8179,0.9859,0.9853,0.9015,0.9059,281,71,32,320,rf,f1_score,0.9853
P23467,Enzyme,0.987,0.9866,0.916,0.9193,0.987,0.9866,0.916,0.9193,0.974,0.974,0.8429,0.8429,0.8701,0.8898,0.4811,0.5288,308,77,35,350,xgb,f1_score,0.9866
P00813,Enzyme,0.9643,0.9605,0.751,0.7754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9643,0.9605,0.751,0.7754,334,84,38,380,rf,f1_score,1.0
P49146,GPCR,0.9955,0.9954,0.9719,0.9723,0.9955,0.9954,0.9719,0.9723,0.9955,0.9954,0.9719,0.9723,0.9955,0.9954,0.9719,0.9723,880,220,100,1000,xgb,f1_score,0.9954
P27694,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369,93,42,420,xgb,f1_score,1.0
O00206,Other,0.9583,0.9559,0.8333,0.8452,1.0,1.0,1.0,1.0,0.9583,0.9601,0.8636,0.8718,0.9583,0.9601,0.8636,0.8718,96,24,20,100,rf,f1_score,1.0
P55157,Other,1.0,1.0,1.0,1.0,0.997,0.9969,0.9814,0.9816,1.0,1.0,1.0,1.0,0.9939,0.9939,0.9633,0.9633,1320,330,150,1500,xgb,f1_score,1.0
P55201,Epigenetic,0.9778,0.9763,0.8454,0.8557,0.9926,0.9924,0.9525,0.9536,0.9852,0.9857,0.9149,0.9183,0.9852,0.9846,0.9011,0.9055,536,135,61,610,rf,f1_score,0.9924
P49759,Kinase,0.9884,0.988,0.927,0.9295,0.9884,0.988,0.927,0.9295,0.9651,0.966,0.8042,0.806,0.9419,0.9459,0.7051,0.7164,343,86,39,390,xgb,f1_score,0.988
Q14832,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,0.9837,0.9006,0.9051,255,64,29,290,xgb,f1_score,1.0
P46663,GPCR,0.9936,0.9932,0.8658,0.8737,0.997,0.9969,0.9404,0.9421,0.9953,0.9954,0.9162,0.9172,0.998,0.998,0.9615,0.9618,11933,2984,409,14508,mlp,f1_score,0.998
O95271,Enzyme,0.9905,0.9904,0.9407,0.9412,0.9905,0.9903,0.9393,0.941,0.9834,0.984,0.9065,0.9105,0.9881,0.9882,0.9285,0.9286,1680,421,191,1910,xgb,f1_score,0.9904
Q07075,Enzyme,0.9677,0.9643,0.7529,0.777,0.9785,0.9771,0.8458,0.856,1.0,1.0,1.0,1.0,0.9677,0.9643,0.7529,0.777,369,93,42,420,svc,f1_score,1.0
P07333,Kinase,0.9943,0.994,0.8814,0.8851,0.9956,0.9955,0.9105,0.9131,0.9966,0.9966,0.9358,0.9358,0.9976,0.9976,0.9542,0.9544,11869,2968,401,14436,mlp,f1_score,0.9976
P14222,Other,0.9483,0.9379,0.5492,0.6153,0.9828,0.9819,0.8797,0.8861,0.9828,0.9819,0.8797,0.8861,0.9655,0.9615,0.7327,0.7604,228,58,26,260,rf,f1_score,0.9819
Q92633,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9286,0.9265,0.8372,0.8485,52,14,22,44,xgb,f1_score,1.0
Q86V86,Kinase,0.9944,0.9943,0.9652,0.9655,0.9935,0.9935,0.9601,0.9605,0.9919,0.992,0.9521,0.9522,0.9935,0.9935,0.9604,0.9606,4954,1239,563,5630,xgb,f1_score,0.9943
P35869,TF,0.9758,0.9741,0.8294,0.8417,0.9839,0.9839,0.9002,0.9002,0.9677,0.9689,0.8156,0.8191,0.9839,0.9839,0.9002,0.9002,492,124,56,560,rf,f1_score,0.9839
P08912,GPCR,0.9857,0.9851,0.9053,0.9094,0.9857,0.9851,0.9053,0.9094,0.975,0.976,0.859,0.8634,0.9857,0.9857,0.9122,0.9122,1117,280,127,1270,mlp,f1_score,0.9857
P02753,Other,0.9886,0.9885,0.9299,0.9302,0.9848,0.9846,0.9048,0.9058,0.9924,0.9926,0.9558,0.9568,0.9773,0.9763,0.8514,0.8556,1056,264,120,1200,svc,f1_score,0.9926
P35557,Kinase,0.9744,0.9741,0.9412,0.9428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9487,0.9487,0.8846,0.8846,156,39,65,130,rf,f1_score,1.0
P28062,Enzyme,0.9878,0.9874,0.9165,0.9197,0.9878,0.9874,0.9165,0.9197,0.9878,0.9882,0.9267,0.9292,0.9756,0.9756,0.8438,0.8438,325,82,37,370,svc,f1_score,0.9882
P50052,GPCR,0.9804,0.9804,0.9561,0.9562,1.0,1.0,1.0,1.0,0.9935,0.9935,0.9854,0.9855,0.9935,0.9935,0.9854,0.9855,612,153,255,510,rf,f1_score,1.0
P17706,Enzyme,0.9971,0.9971,0.9825,0.9827,0.9971,0.9971,0.9825,0.9827,0.9856,0.9859,0.9174,0.9186,0.9885,0.9887,0.9331,0.9336,1390,348,158,1580,xgb,f1_score,0.9971
P47870,IC,0.939,0.9231,0.4225,0.5175,1.0,1.0,1.0,1.0,0.939,0.9438,0.673,0.6864,0.9634,0.9588,0.7092,0.7412,325,82,37,370,rf,f1_score,1.0
P35368,GPCR,0.9667,0.9665,0.9245,0.9247,0.9758,0.9756,0.945,0.9453,0.9576,0.9577,0.905,0.9051,0.9636,0.9636,0.9178,0.9179,1317,330,549,1098,rf,f1_score,0.9756
Q9NYK1,Other,0.9895,0.9892,0.9354,0.9374,0.9895,0.9892,0.9354,0.9374,0.9789,0.9789,0.8773,0.8773,1.0,1.0,1.0,1.0,378,95,43,430,mlp,f1_score,1.0
Q8WWL7,Other,0.987,0.9867,0.9179,0.9193,0.9892,0.9889,0.9308,0.9331,0.9805,0.981,0.8881,0.8899,0.9805,0.9795,0.8696,0.8771,1848,462,210,2100,rf,f1_score,0.9889
Q9UNQ0,Transporter,0.9848,0.9819,0.6022,0.6563,0.9932,0.9928,0.8538,0.863,0.9941,0.9943,0.8955,0.898,0.9941,0.9938,0.8783,0.8817,4736,1184,160,5760,svc,f1_score,0.9943
P16109,Other,0.8857,0.8608,0.4531,0.5412,0.9143,0.9021,0.6237,0.6731,0.9714,0.9704,0.8923,0.8975,0.9429,0.9381,0.7682,0.7897,139,35,29,145,svc,f1_score,0.9704
O94953,Epigenetic,0.9524,0.9514,0.8889,0.8944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84,21,35,70,rf,f1_score,1.0
P21728,GPCR,0.9945,0.9942,0.8847,0.8906,0.9942,0.9939,0.8771,0.8838,0.9952,0.9953,0.9108,0.9112,0.9952,0.9951,0.9066,0.9068,12461,3116,421,15156,svc,f1_score,0.9953
Q13627,Kinase,0.9839,0.9839,0.9002,0.9002,0.9919,0.9918,0.948,0.9493,0.9758,0.9771,0.8668,0.8746,0.9758,0.9763,0.8563,0.8572,492,124,56,560,rf,f1_score,0.9918
P41145,GPCR,0.9925,0.9923,0.9528,0.9536,0.9899,0.9897,0.9359,0.9378,0.9891,0.9892,0.9352,0.9354,0.9952,0.9953,0.9714,0.9714,14308,3578,1626,16260,mlp,f1_score,0.9953
Q99685,Enzyme,0.9706,0.9705,0.9333,0.9336,0.9902,0.9902,0.9778,0.978,0.9118,0.9121,0.8029,0.8031,0.9314,0.932,0.8489,0.8507,408,102,170,340,rf,f1_score,0.9902
P53609,Enzyme,0.9804,0.9794,0.8783,0.8849,0.9804,0.9794,0.8783,0.8849,0.9804,0.9794,0.8783,0.8849,0.9804,0.9794,0.8783,0.8849,202,51,23,230,xgb,f1_score,0.9794
