protein_family,best_model,best_metric,best_score
Transporter,svc,cohen_kappa,0.8955
Other,svc,cohen_kappa,0.8923
Epigenetic,rf,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9108
Kinase,rf,cohen_kappa,0.948
GPCR,mlp,cohen_kappa,0.9714
Enzyme,rf,cohen_kappa,0.9778
Enzyme,xgb,cohen_kappa,0.8783
IC,xgb,cohen_kappa,0.9672
Other,svc,cohen_kappa,0.8778
Enzyme,rf,cohen_kappa,0.8645
GPCR,rf,cohen_kappa,0.986
Enzyme,rf,cohen_kappa,0.9163
IC,mlp,cohen_kappa,0.9476
Kinase,svc,cohen_kappa,0.9917
Enzyme,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9915
Enzyme,mlp,cohen_kappa,0.8179
Other,rf,cohen_kappa,1.0
Other,xgb,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9512
Enzyme,rf,cohen_kappa,0.92
Other,xgb,cohen_kappa,0.9646
GPCR,rf,cohen_kappa,0.9355
GPCR,rf,cohen_kappa,0.9448
Enzyme,xgb,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.9686
Other,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.5952
Kinase,svc,cohen_kappa,0.9678
GPCR,svc,cohen_kappa,0.9448
Enzyme,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9724
GPCR,mlp,cohen_kappa,0.9406
Kinase,svc,cohen_kappa,0.9512
Enzyme,mlp,cohen_kappa,0.9904
Enzyme,xgb,cohen_kappa,1.0
Epigenetic,xgb,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,0.8787
NR,xgb,cohen_kappa,0.9142
Enzyme,svc,cohen_kappa,0.9736
Enzyme,rf,cohen_kappa,0.9089
NR,rf,cohen_kappa,1.0
Epigenetic,svc,cohen_kappa,0.7551
GPCR,xgb,cohen_kappa,1.0
Other,svc,cohen_kappa,0.78
GPCR,xgb,cohen_kappa,0.9006
Kinase,mlp,cohen_kappa,0.9839
Other,rf,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.9426
Enzyme,mlp,cohen_kappa,0.9313
Enzyme,svc,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.9259999999999999
Enzyme,mlp,cohen_kappa,0.9657
IC,xgb,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9807
Enzyme,svc,cohen_kappa,0.9743
Enzyme,mlp,cohen_kappa,0.9945
Enzyme,xgb,cohen_kappa,0.9418
Enzyme,mlp,cohen_kappa,1.0
Other,xgb,cohen_kappa,0.9594
GPCR,xgb,cohen_kappa,0.9877
Epigenetic,rf,cohen_kappa,0.9687
Kinase,svc,cohen_kappa,0.975
Enzyme,svc,cohen_kappa,0.8454
Enzyme,rf,cohen_kappa,0.9756
Enzyme,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9614
GPCR,mlp,cohen_kappa,0.9742
Enzyme,rf,cohen_kappa,0.7525
Enzyme,xgb,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9473
Enzyme,xgb,cohen_kappa,1.0
Other,svc,cohen_kappa,0.9312
Other,svc,cohen_kappa,1.0
Other,mlp,cohen_kappa,0.9159
Enzyme,mlp,cohen_kappa,0.9784
Kinase,svc,cohen_kappa,0.9474
GPCR,xgb,cohen_kappa,0.99
Enzyme,xgb,cohen_kappa,0.9015
NR,svc,cohen_kappa,1.0
Kinase,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.9695
Transporter,xgb,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9594
Enzyme,xgb,cohen_kappa,0.867
Kinase,svc,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,0.8875
Enzyme,mlp,cohen_kappa,1.0
Epigenetic,xgb,cohen_kappa,0.9528
Enzyme,rf,cohen_kappa,0.9159999999999999
Kinase,svc,cohen_kappa,0.9488
Transporter,rf,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9519
NR,xgb,cohen_kappa,0.9841
IC,svc,cohen_kappa,0.7532
Kinase,rf,cohen_kappa,0.9593
GPCR,mlp,cohen_kappa,0.9188
Kinase,rf,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9826
GPCR,rf,cohen_kappa,0.9811
Other,rf,cohen_kappa,0.9636
Kinase,svc,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9047
GPCR,xgb,cohen_kappa,0.8916
Other,rf,cohen_kappa,0.9926
GPCR,xgb,cohen_kappa,0.986
GPCR,rf,cohen_kappa,0.9563
GPCR,xgb,cohen_kappa,0.9646
GPCR,svc,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9865
GPCR,xgb,cohen_kappa,0.976
GPCR,rf,cohen_kappa,0.9786
Enzyme,xgb,cohen_kappa,0.8285
Enzyme,xgb,cohen_kappa,0.9703
Epigenetic,mlp,cohen_kappa,1.0
Other,mlp,cohen_kappa,0.8961
Enzyme,rf,cohen_kappa,0.8787
Enzyme,svc,cohen_kappa,0.9646
Other,rf,cohen_kappa,1.0
Other,rf,cohen_kappa,1.0
Epigenetic,svc,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9589
Enzyme,xgb,cohen_kappa,1.0
Transporter,rf,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,1.0
Epigenetic,xgb,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.8464
Other,xgb,cohen_kappa,1.0
IC,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,1.0
